Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30,
14.84342856,0.12009845,-0.088,0.001406429,147244.2032,335.1813,1.4531873,1.163218116,
14.84342856,0.12011816,-0.088,0.001688,147680.9646,335.1723,1.4574978,1.163186882,
14.84342856,0.12014125,-0.088,0.002017857,148122.0424,335.16019,1.4618509,1.163144855,
14.84342856,0.12016826,-0.088,0.002403714,148567.3354,335.14487,1.4662456,1.163091688,
14.84342856,0.12019984,-0.088,0.002854857,149021.9098,335.12592,1.4707319,1.163025924,
14.84342856,0.12023681,-0.088,0.003383,149492.3212,335.10236,1.4753745,1.162944161,
14.84342856,0.12028006,-0.088,0.004000857,149977.1917,335.07346,1.4801598,1.162843866,
14.84342856,0.12033065,-0.088,0.004723571,150478.3756,335.03802,1.4851061,1.162720875,
14.84342856,0.12038983,-0.088,0.005569,150997.0684,334.99466,1.4902252,1.162570397,
14.84342856,0.12045909,-0.088,0.006558429,151535.9046,334.94128,1.4955431,1.162385147,
14.84342856,0.1205401,-0.088,0.007715714,152095.5023,334.87561,1.5010659,1.162157244,
14.84342856,0.12063489,-0.088,0.009069857,152672.072,334.79465,1.5067562,1.16187628,
14.84342856,0.12074579,-0.088,0.010654143,153260.8817,334.69489,1.5125673,1.161530071,
14.84342856,0.12087553,-0.088,0.012507571,153861.7795,334.57269,1.5184977,1.161105986,
14.84342856,0.12102732,-0.088,0.014676,154478.2104,334.42493,1.5245814,1.160593198,
14.84342856,0.12120492,-0.088,0.017213143,155097.2757,334.25031,1.5306911,1.159987194,
14.84342856,0.12141266,-0.088,0.020180857,155695.9342,334.0452,1.5365994,1.159275377,
14.84342856,0.12166609,-0.088,0.023801286,156302.7392,333.79721,1.5425881,1.158414749,
14.84342856,0.12193799,-0.088,0.027685571,156909.3619,333.50967,1.548575,1.157416866,
14.84342856,0.12222969,-0.088,0.031852714,157466.771,333.1911,1.5540762,1.156311296,
14.84342856,0.12254266,-0.088,0.036323714,157976.456,332.84772,1.5591064,1.155119625,
14.84342856,0.12287846,-0.088,0.041120857,158413.1667,332.48438,1.5634164,1.153858685,
14.84342856,0.12323873,-0.088,0.046267571,158761.3296,332.10855,1.5668525,1.152554399,
14.84342856,0.12362526,-0.088,0.051789429,159015.5945,331.72937,1.5693619,1.151238487,
14.84342856,0.12403995,-0.088,0.057713571,159173.6109,331.35709,1.5709214,1.149946521,
14.84342856,0.12448487,-0.088,0.064069571,159222.642,331.00229,1.5714053,1.148715218,
14.84342856,0.12496223,-0.088,0.070889,159159.1112,330.6723,1.5707783,1.147570016,
14.84342856,0.12547441,-0.088,0.078205857,159017.3069,330.37134,1.5693788,1.14652556,
14.84342856,0.12602389,-0.088,0.086055571,158833.6655,330.10275,1.5675664,1.145593441,
14.84342856,0.12661342,-0.088,0.094477429,158614.7427,329.86728,1.5654058,1.144776262,
14.84342856,0.12724593,-0.088,0.103513286,158373.1231,329.66388,1.5630212,1.14407038,
14.84342856,0.12792458,-0.088,0.113208286,158105.6251,329.49158,1.5603812,1.143472428,
14.84342856,0.12865265,-0.088,0.123609286,157827.7007,329.34775,1.5576383,1.142973278,
14.84342856,0.1294338,-0.088,0.134768571,157574.5301,329.22992,1.5551397,1.142564359,
14.84342856,0.13027191,-0.088,0.146741571,157361.8287,329.13449,1.5530405,1.142233177,
14.84342856,0.13117111,-0.088,0.159587286,157185.817,329.05835,1.5513034,1.14196894,
14.84342856,0.13213582,-0.088,0.173368857,157039.0883,328.9989,1.5498553,1.141762624,
14.84342856,0.1331709,-0.088,0.188155714,156931.0252,328.95386,1.5487888,1.141606316,
14.84342856,0.13428138,-0.088,0.204019714,156871.8919,328.92108,1.5482052,1.141492556,
14.84342856,0.13547286,-0.088,0.221040857,156855.2442,328.89926,1.5480409,1.141416832,
14.84342856,0.13647333,-0.088,0.235333286,156863.8568,328.88602,1.5481259,1.141370883,
14.84342856,0.13754676,-0.088,0.250668,156899.1382,328.88095,1.5484741,1.141353288,
14.84342856,0.13869843,-0.088,0.267120429,156957.5115,328.88388,1.5490502,1.141363457,
14.84342856,0.13993405,-0.088,0.284772143,157028.7227,328.89383,1.549753,1.141397987,
14.84342856,0.1412597,-0.088,0.30371,157104.0984,328.90942,1.5504969,1.141452091,
14.84342856,0.14258538,-0.088,0.322648286,157182.1186,328.92938,1.5512669,1.14152136,
14.84342856,0.14391106,-0.088,0.341586571,157263.7157,328.95224,1.5520722,1.141600694,
14.84342856,0.14523675,-0.088,0.360525,157346.022,328.97595,1.5528845,1.141682978,
14.84342856,0.14656243,-0.088,0.379463286,157426.9908,328.99872,1.5536836,1.141761999,
14.84342856,0.14788809,-0.088,0.398401286,157504.7678,329.01904,1.5544512,1.141832518,
14.84342856,0.14921376,-0.088,0.417339429,157581.7343,329.03659,1.5552108,1.141893424,
14.84342856,0.15053943,-0.088,0.436277571,157653.1988,329.05225,1.5559161,1.14194777,
14.84342856,0.15186511,-0.088,0.455215857,157719.283,329.06931,1.5565683,1.142006976,
14.84342856,0.15319079,-0.088,0.474154143,157779.1458,329.09357,1.5571591,1.142091168,
14.84342856,0.15451647,-0.088,0.493092429,157830.6392,329.13309,1.5576673,1.142228319,
14.84342856,0.15584214,-0.088,0.512030571,157871.5846,329.19711,1.5580714,1.142450495,
14.84342856,0.15716782,-0.088,0.530968857,157901.7896,329.29504,1.5583695,1.142790352,
14.84342856,0.1584935,-0.088,0.549907143,157920.6968,329.43484,1.5585561,1.143275516,
14.84342856,0.15981917,-0.088,0.568845286,157935.3282,329.62219,1.5587005,1.143925698,
14.84342856,0.16114485,-0.088,0.587783571,157952.3609,329.86179,1.5588686,1.14475721,
14.84342856,0.16247052,-0.088,0.606721714,157972.8893,330.15729,1.5590712,1.145782717,
14.84342856,0.1637962,-0.088,0.62566,158002.608,330.5112,1.5593645,1.147010932,
14.84342856,0.16512187,-0.088,0.644598143,158043.8878,330.92465,1.5597719,1.148445775,
14.84342856,0.16644755,-0.088,0.663536429,158103.5885,331.39804,1.5603611,1.150088634,
14.84342856,0.16777322,-0.088,0.682474571,158176.3702,331.93198,1.5610794,1.151941628,
14.84342856,0.16909891,-0.088,0.701413,158247.551,332.5267,1.5617819,1.154005553,
14.84342856,0.17042458,-0.088,0.720351143,158297.2915,333.17065,1.5622728,1.156240326,
14.84342856,0.17175025,-0.088,0.739289286,158322.572,333.84622,1.5625223,1.158584834,
14.84342856,0.17307594,-0.088,0.758227714,158340.8815,334.52844,1.562703,1.160952421,
14.84342856,0.17440161,-0.088,0.777165857,158373.0218,335.21786,1.5630202,1.163344994,
14.84342856,0.17562814,-0.088,0.794687714,158428.021,335.9277,1.563563,1.165808433,
14.84342856,0.17676298,-0.088,0.810899714,158524.8167,336.64062,1.5645183,1.168282561,
14.84342856,0.17781295,-0.088,0.825899286,158656.0428,337.35904,1.5658134,1.170775777,
14.84342856,0.17878442,-0.088,0.839777429,158797.5026,338.08664,1.5672095,1.17330085,
14.84342856,0.17968324,-0.088,0.852617714,158961.5275,338.82852,1.5688283,1.175875482,
14.84342856,0.18051484,-0.088,0.864497714,159141.3591,339.59372,1.5706031,1.178531043,
14.84342856,0.18128426,-0.088,0.875489429,159304.6241,340.38147,1.5722144,1.181264862,
