Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.942,-0.170130566,0.177564651,0.836677492,35.6014175,2.49495792,149903.859,1.516324691
15.942,-0.170256287,0.179363042,0.860272288,36.9616432,2.39324355,150416.656,1.521511794
15.942,-0.170381933,0.181160077,0.883922756,38.5935135,2.31901097,150174.891,1.519066265
15.942,-0.170507804,0.182960153,0.907534003,40.5561829,2.31231904,148512.031,1.502245913
15.942,-0.170633495,0.184758186,0.931185663,42.8922272,2.33829713,145762.438,1.474432915
15.942,-0.170723408,0.186043978,0.948046207,45.417469,2.32076979,142981.906,1.446306959
15.942,-0.170787662,0.186962962,0.960161269,48.1007996,2.24770403,140758.5,1.423816508
15.942,-0.170833394,0.187617004,0.968734682,50.825058,2.13966441,139124.375,1.40728682
15.942,-0.170866147,0.188085556,0.974876463,53.1829071,2.00402689,138008.844,1.396002873
15.942,-0.170889527,0.188420147,0.979262352,54.9636803,1.85017383,137276.844,1.388598462
15.942,-0.170906246,0.188659102,0.982394576,56.2399826,1.69962597,136785.5,1.383628363
15.942,-0.170918182,0.18882978,9.85E-01,57.1427002,1.56758392,136442.969,1.380163555
15.942,-0.170926705,0.188951701,0.986230075,57.7789078,1.45833862,136197.625,1.377681823
15.942,-0.1709328,0.189038739,0.987370968,58.2278137,1.37228358,136019.125,1.375876239
15.942,-0.170937136,0.189100921,0.988186121,58.5453644,1.30628467,135888.563,1.374555563
15.942,-0.17094025,0.189145327,0.98876816,58.770607,1.2567507,135792.875,1.373587649
15.942,-0.17094247,0.189177036,0.989183784,58.9307365,1.22009778,135723.094,1.372881792
15.942,-0.17094405,0.189199686,0.989480734,59.0448608,1.19337428,135672.281,1.372367803
15.942,-0.170945182,0.189215869,0.989692867,59.1261749,1.17429829,135635.047,1.371991169
15.942,-0.170946002,0.189227432,0.989844441,59.18367,1.15989029,135608.781,1.37172548
15.942,-0.170946568,0.189235657,0.989952266,59.2250366,1.15011632,135589.234,1.371527756
15.942,-0.170946971,0.189241529,0.990029216,59.254467,1.14344883,135575.141,1.371385201
15.942,-0.170947284,0.18924576,0.990084708,59.2751274,1.13714349,135566,1.371292737
15.942,-0.170947492,0.189248785,0.990124345,59.2913361,1.13325846,135558.406,1.371215922
15.942,-0.170947686,0.189251781,0.990163624,59.308773,1.12890172,135550.563,1.371136587
15.942,-0.170948029,0.189256594,0.990226746,59.3336906,1.12236893,135538.703,1.371016619
15.942,-0.170948565,0.189264327,0.990328074,59.3728828,1.11310101,135519.859,1.370826006
15.942,-0.170949429,0.189276695,0.990490198,59.4364281,1.09689116,135489.297,1.370516862
15.942,-0.170950815,0.189296544,0.990750372,59.5381317,1.07044983,135438.672,1.370004774
15.942,-0.17095305,0.189328372,0.991167545,59.7010651,1.02746069,135355.188,1.369160308
15.942,-0.170956612,0.189379364,0.991836011,59.9622154,0.956471741,135212.109,1.367713018
15.942,-0.170962334,0.189461067,0.992906988,60.3199959,0.854627728,134996.609,1.365533168
15.942,-0.170968026,0.18954277,0.993978024,60.7147255,0.736428678,134724.047,1.362776118
15.942,-0.170973748,0.189624518,0.995049596,61.113884,0.611877263,134387.875,1.359375632
15.942,-0.17097947,0.189706206,0.996120334,61.5265503,0.481884986,133932.438,1.354768744
15.942,-0.170985177,0.189787954,0.997191906,61.9647064,0.347213149,133215.063,1.34751227
15.942,-0.170990884,0.189869672,0.998263061,62.3907127,0.221228033,132107.406,1.336307971
15.942,-0.170994461,0.189920649,0.998931289,62.7238541,0.128382444,130616.203,1.321223983
15.942,-0.170996681,0.189952493,0.9993487,62.9419403,0.072457656,128752.719,1.302374257
15.942,-0.170998052,0.189972311,0.999608517,63.0702667,0.039877601,126572.688,1.280322557
15.942,-0.170998931,0.189984679,0.999770641,63.1329956,0.020014497,124325.164,1.257588145
15.942,-0.170999467,0.189992383,0.999871612,63.1501961,0.006191605,122606.391,1.240202215
15.942,-0.17099981,0.189997226,0.999935091,63.1490135,0.000204771,121984.852,1.233915153
