"Operating_condition (e.g., stall cycle/stall inception)",r_probe(m),x_probe(m),Rotational_frame(yes/no)
Stall inception,0.1892,-0.235,yes
t(s),p(Pa),,
0.000464479,94229.83701,,
0.000465511,94411.21811,,
0.000466543,94603.15742,,
0.000467576,94801.11733,,
0.000468608,95007.54605,,
0.00046964,95217.93642,,
0.000470672,95439.04131,,
0.000471704,95661.93753,,
0.000472737,95885.68791,,
0.000473769,96117.65853,,
0.000474801,96348.73843,,
0.000475833,96582.59372,,
0.000476865,96818.25582,,
0.000477897,97055.36861,,
0.00047893,97293.2481,,
0.000479962,97531.61334,,
0.000480994,97769.67716,,
0.000482026,98003.36231,,
0.000483058,98236.32728,,
0.00048409,98468.32529,,
0.000485123,98699.42954,,
0.000486155,98925.48837,,
0.000487187,99150.49822,,
0.000488219,99374.50935,,
0.000489251,99593.62941,,
0.000490284,99807.98684,,
0.000491316,100021.8245,,
0.000492348,100231.3504,,
0.00049338,100440.7397,,
0.000494412,100642.2722,,
0.000495444,100844.1792,,
0.000496477,101038.5988,,
0.000497509,101229.8178,,
0.000498541,101418.0578,,
0.000499573,101599.5407,,
0.000500605,101778.5136,,
0.000501637,101955.2627,,
0.00050267,102125.9485,,
0.000503702,102290.7715,,
0.000504734,102453.9247,,
0.000505766,102611.5577,,
0.000506798,102767.8146,,
0.00050783,102914.8468,,
0.000508863,103060.7548,,
0.000509895,103197.6487,,
0.000510927,103333.6454,,
0.000511959,103464.7947,,
0.000512991,103591.1919,,
0.000514024,103708.925,,
0.000515056,103826.0273,,
0.000516088,103938.5831,,
0.00051712,104042.626,,
0.000518152,104146.2351,,
0.000519184,104245.4491,,
0.000520217,104336.3008,,
0.000521249,104426.8618,,
0.000522281,104509.1303,,
0.000523313,104587.1935,,
0.000524345,104661.0485,,
0.000525377,104730.7924,,
0.00052641,104800.426,,
0.000527442,104861.9795,,
0.000528474,104919.5313,,
0.000529506,104977.0882,,
0.000530538,105030.673,,
0.000531571,105080.3598,,
0.000532603,105126.1796,,
0.000533635,105168.1646,,
0.000534667,105210.3304,,
0.000535699,105248.6777,,
0.000536731,105287.3345,,
0.000537764,105322.25,,
0.000538796,105353.4681,,
0.000539828,105385.0134,,
0.00054086,105412.8718,,
0.000541892,105441.1316,,
0.000542924,105469.7387,,
0.000543957,105498.7668,,
0.000544989,105524.141,,
0.000546021,105549.9551,,
0.000547053,105572.1322,,
0.000548085,105598.7238,,
0.000549118,105625.7454,,
0.00055015,105649.1611,,
0.000551182,105672.9143,,
0.000552214,105697.1027,,
0.000553246,105725.6498,,
0.000554278,105750.5894,,
0.000555311,105775.8352,,
0.000556343,105801.4667,,
0.000557375,105831.3849,,
0.000558407,105857.6144,,
0.000559439,105888.1209,,
0.000560471,105918.9177,,
0.000561504,105949.8957,,
0.000562536,105981.1995,,
0.000563568,106012.6335,,
0.0005646,106048.2768,,
0.000565632,106080.0851,,
0.000566665,106116.0238,,
0.000567697,106152.1045,,
0.000568729,106188.2359,,
0.000569761,106228.4762,,
0.000570793,106264.7904,,
0.000571825,106305.1518,,
0.000572858,106345.4799,,
0.00057389,106389.8795,,
0.000574922,106430.2136,,
0.000575954,106474.5552,,
0.000576986,106518.8227,,
0.000578018,106559.0416,,
0.000579051,106607.154,,
0.000580083,106651.2276,,
0.000581115,106695.1392,,
0.000582147,106742.9565,,
0.000583179,106786.6586,,
0.000584212,106834.206,,
0.000585244,106877.6514,,
0.000586276,106924.9,,
0.000587308,106968.0087,,
0.00058834,107014.9101,,
0.000589372,107057.675,,
0.000590405,107100.2536,,
0.000591437,107146.6569,,
0.000592469,107188.8437,,
0.000593501,107230.8192,,
0.000594533,107268.6261,,
0.000595565,107310.2559,,
0.000596598,107347.6764,,
0.00059763,107384.8676,,
0.000598662,107421.9103,,
0.000599694,107454.7758,,
0.000600726,107487.4159,,
0.000601758,107519.8639,,
0.000602791,107548.1812,,
0.000603823,107576.2891,,
0.000604855,107604.1967,,
0.000605887,107627.99,,
0.000606919,107651.6492,,
0.000607952,107671.1177,,
0.000608984,107690.463,,
0.000610016,107705.6891,,
0.000611048,107720.795,,
0.00061208,107735.7722,,
0.000613112,107746.7165,,
0.000614145,107753.529,,
0.000615177,107760.285,,
0.000616209,107766.9445,,
0.000617241,107769.5974,,
0.000618273,107772.196,,
0.000619305,107770.7774,,
0.000620338,107765.3207,,
0.00062137,107763.9297,,
0.000622402,107754.5177,,
0.000623434,107749.1544,,
0.000624466,107739.7771,,
0.000625499,107726.5632,,
0.000626531,107713.3524,,
0.000627563,107700.2722,,
0.000628595,107683.2951,,
0.000629627,107666.3879,,
0.000630659,107649.648,,
0.000631692,107629.037,,
0.000632724,107608.611,,
0.000633756,107588.3521,,
0.000634788,107564.2409,,
0.00063582,107540.3343,,
0.000636852,107516.6082,,
0.000637885,107493.1289,,
0.000638917,107465.8327,,
0.000639949,107438.8114,,
0.000640981,107411.9876,,
0.000642013,107385.4182,,
0.000643046,107359.1208,,
0.000644078,107329.0037,,
0.00064511,107299.2366,,
0.000646142,107273.6582,,
0.000647174,107244.3575,,
0.000648206,107211.3435,,
0.000649239,107182.6118,,
0.000650271,107154.0931,,
0.000651303,107125.9047,,
0.000652335,107093.9148,,
0.000653367,107062.2843,,
0.000654399,107034.8363,,
0.000655432,107003.6688,,
0.000656464,106972.6898,,
0.000657496,106946.0361,,
0.000658528,106915.6148,,
0.00065956,106885.3557,,
0.000660593,106855.3333,,
0.000661625,106825.5387,,
0.000662657,106795.9627,,
0.000663689,106762.5743,,
0.000664721,106733.3647,,
0.000665753,106704.3468,,
0.000666786,106671.4301,,
0.000667818,106642.7265,,
0.00066885,106610.1078,,
0.000669882,106577.6043,,
0.000670914,106545.2304,,
0.000671946,106512.9572,,
0.000672979,106480.6975,,
0.000674011,106448.5843,,
0.000675043,106416.4731,,
0.000676075,106380.4534,,
0.000677107,106344.4267,,
0.00067814,106308.4253,,
0.000679172,106272.3667,,
0.000680204,106236.3647,,
0.000681236,106196.3587,,
0.000682268,106156.2642,,
0.0006833,106116.1497,,
0.000684333,106075.9792,,
0.000685365,106035.7475,,
0.000686397,105991.4642,,
0.000687429,105947.0629,,
0.000688461,105902.6372,,
0.000689493,105858.0731,,
0.000690526,105809.4365,,
0.000691558,105764.6952,,
0.00069259,105715.8646,,
0.000693622,105666.933,,
0.000694654,105613.8904,,
0.000695686,105564.7068,,
0.000696719,105511.4594,,
0.000697751,105458.0478,,
0.000698783,105404.5553,,
0.000699815,105350.9302,,
0.000700847,105297.2751,,
0.00070188,105243.3953,,
0.000702912,105185.4502,,
0.000703944,105131.4223,,
0.000704976,105073.2812,,
0.000706008,105015.0012,,
0.00070704,104960.6639,,
0.000708073,104902.2529,,
0.000709105,104843.6972,,
0.000710137,104785.0977,,
0.000711169,104726.3611,,
0.000712201,104667.5348,,
0.000713233,104608.7143,,
0.000714266,104549.7564,,
0.000715298,104490.7807,,
0.00071633,104431.6997,,
0.000717362,104372.5481,,
0.000718394,104317.3899,,
0.000719427,104258.1531,,
0.000720459,104202.8962,,
0.000721491,104143.5744,,
0.000722523,104088.2342,,
0.000723555,104032.8263,,
0.000724587,103977.4284,,
0.00072562,103921.9843,,
0.000726652,103870.4906,,
0.000727684,103814.9836,,
0.000728716,103763.475,,
0.000729748,103711.942,,
0.00073078,103660.363,,
0.000731813,103612.7838,,
0.000732845,103561.1811,,
0.000733877,103513.5813,,
0.000734909,103465.9172,,
0.000735941,103418.2916,,
0.000736974,103374.5666,,
0.000738006,103330.8726,,
0.000739038,103287.1349,,
0.00074007,103243.3833,,
0.000741102,103199.5643,,
0.000742134,103159.7502,,
0.000743167,103115.8572,,
0.000744199,103075.9432,,
0.000745231,103039.9816,,
0.000746263,103000.0082,,
0.000747295,102959.936,,
0.000748327,102923.8514,,
0.00074936,102887.6687,,
0.000750392,102851.4591,,
0.000751424,102815.186,,
0.000752456,102778.8461,,
0.000753488,102742.4264,,
0.000754521,102705.9352,,
0.000755553,102673.3469,,
0.000756585,102636.6691,,
0.000757617,102603.9,,
0.000758649,102567.038,,
0.000759681,102534.0933,,
0.000760714,102497.0195,,
0.000761746,102463.9091,,
0.000762778,102426.6262,,
0.00076381,102393.2184,,
0.000764842,102355.745,,
0.000765874,102322.1013,,
0.000766907,102284.3348,,
0.000767939,102250.5045,,
0.000768971,102212.4657,,
0.000770003,102174.3048,,
0.000771035,102136.0523,,
0.000772067,102097.6007,,
0.0007731,102059.005,,
0.000774132,102016.264,,
0.000775164,101977.4058,,
0.000776196,101934.3493,,
0.000777228,101895.1341,,
0.000778261,101851.7364,,
0.000779293,101808.1801,,
0.000780325,101764.4517,,
0.000781357,101720.5565,,
0.000782389,101672.4812,,
0.000783421,101628.2132,,
0.000784454,101579.7212,,
0.000785486,101535.1041,,
0.000786518,101486.2191,,
0.00078755,101437.2265,,
0.000788582,101387.9799,,
0.000789614,101334.557,,
0.000790647,101284.957,,
0.000791679,101231.184,,
0.000792711,101181.2177,,
0.000793743,101127.025,,
0.000794775,101072.74,,
0.000795808,101018.2453,,
0.00079684,100963.5967,,
0.000797872,100908.7646,,
0.000798904,100849.8788,,
0.000799936,100794.8571,,
0.000800968,100735.7563,,
0.000802001,100676.5228,,
0.000803033,100617.2888,,
0.000804065,100558.0466,,
0.000805097,100498.868,,
0.000806129,100435.6075,,
0.000807161,100372.5159,,
0.000808194,100309.539,,
0.000809226,100242.6719,,
0.000810258,100176.0298,,
0.00081129,100109.6308,,
0.000812322,100039.4862,,
0.000813355,99969.74028,,
0.000814387,99896.27203,,
0.000815419,99823.31148,,
0.000816451,99746.81944,,
0.000817483,99670.86524,,
0.000818515,99587.54548,,
0.000819548,99504.7718,,
0.00082058,99418.65065,,
0.000821612,99329.23058,,
0.000822644,99240.44591,,
0.000823676,99144.47274,,
0.000824708,99049.18274,,
0.000825741,98946.61324,,
0.000826773,98840.6865,,
0.000827805,98731.54887,,
0.000828837,98618.85958,,
0.000829869,98502.7989,,
0.000830902,98383.14218,,
0.000831934,98259.76061,,
0.000832966,98128.56481,,
0.000833998,97997.39366,,
0.00083503,97858.0205,,
0.000836062,97718.21791,,
0.000837095,97569.69535,,
0.000838127,97420.21354,,
0.000839159,97265.51534,,
0.000840191,97109.21488,,
0.000841223,96947.01254,,
0.000842255,96782.51521,,
0.000843288,96615.32763,,
0.00084432,96445.10313,,
0.000845352,96271.50068,,
0.000846384,96098.06494,,
0.000847416,95920.49987,,
0.000848449,95746.50485,,
0.000849481,95567.68613,,
0.000850513,95392.06436,,
0.000851545,95215.19655,,
0.000852577,95041.1056,,
0.000853609,94869.7748,,
0.000854642,94701.1307,,
0.000855674,94539.46561,,
0.000856706,94376.9449,,
0.000857738,94221.80386,,
0.00085877,94074.61188,,
0.000859802,93931.92867,,
0.000860835,93798.34544,,
0.000861867,93670.62351,,
0.000862899,93557.37613,,
0.000863931,93447.93386,,
0.000864963,93355.24978,,
0.000865995,93268.01909,,
0.000867028,93195.65929,,
0.00086806,93134.44319,,
0.000869092,93086.34317,,
0.000870124,93051.40866,,
0.000871156,93030.79188,,
0.000872189,93025.17818,,
0.000873221,93031.38855,,
0.000874253,93054.25378,,
0.000875285,93089.64274,,
0.000876317,93138.0157,,
0.000877349,93204.42754,,
0.000878382,93284.76606,,
0.000879414,93378.33896,,
0.000880446,93485.35639,,
0.000881478,93606.05697,,
0.00088251,93743.7113,,
0.000883542,93889.89697,,
0.000884575,94047.77669,,
0.000885607,94217.3268,,
0.000886639,94397.10388,,
0.000887671,94582.62573,,
0.000888703,94780.92886,,
0.000889736,94987.40616,,
0.000890768,95201.0601,,
0.0008918,95417.28852,,
0.000892832,95642.87466,,
0.000893864,95873.47933,,
0.000894896,96108.27027,,
0.000895929,96346.55666,,
0.000896961,96587.81122,,
0.000897993,96831.34101,,
0.000899025,97076.78807,,
0.000900057,97319.65655,,
0.000901089,97567.42512,,
0.000902122,97811.81139,,
0.000903154,98060.46464,,
0.000904186,98305.20997,,
0.000905218,98545.90975,,
0.00090625,98790.53159,,
0.000907283,99026.90532,,
0.000908315,99267.09533,,
0.000909347,99499.1431,,
0.000910379,99731.07004,,
0.000911411,99955.00219,,
0.000912443,100179.1331,,
0.000913476,100399.6085,,
0.000914508,100612.5998,,
0.00091554,100826.193,,
0.000916572,101032.6652,,
0.000917604,101232.09,,
0.000918636,101428.6812,,
0.000919669,101618.5916,,
0.000920701,101802.1049,,
0.000921733,101979.3605,,
0.000922765,102154.6076,,
0.000923797,102323.9476,,
0.00092483,102487.5586,,
0.000925862,102641.6307,,
0.000926894,102794.2542,,
0.000927926,102941.6037,,
0.000928958,103079.7704,,
0.00092999,103212.8482,,
0.000931023,103340.9661,,
0.000932055,103464.214,,
0.000933087,103582.6844,,
0.000934119,103692.4338,,
0.000935151,103801.5704,,
0.000936183,103902.167,,
0.000937216,103998.2708,,
0.000938248,104089.9764,,
0.00093928,104177.339,,
0.000940312,104256.4108,,
0.000941344,104331.2432,,
0.000942377,104401.9353,,
0.000943409,104468.4944,,
0.000944441,104531.0066,,
0.000945473,104589.4618,,
0.000946505,104643.9843,,
0.000947537,104690.5478,,
0.00094857,104737.2847,,
0.000949602,104784.1171,,
0.000950634,104823.2017,,
0.000951666,104862.5149,,
0.000952698,104898.0932,,
0.00095373,104929.9898,,
0.000954763,104962.1836,,
0.000955795,104990.7696,,
0.000956827,105019.7146,,
0.000957859,105049.0941,,
0.000958891,105074.8937,,
0.000959923,105097.0738,,
0.000960956,105123.7609,,
0.000961988,105146.8977,,
0.00096302,105170.4438,,
0.000964052,105194.4909,,
0.000965084,105218.9987,,
0.000966117,105239.9325,,
0.000967149,105265.3143,,
0.000968181,105291.1542,,
0.000969213,105317.3642,,
0.000970245,105343.9993,,
0.000971277,105371.0159,,
0.00097231,105398.3779,,
0.000973342,105426.1324,,
0.000974374,105454.178,,
